fraction,task,seed,model,threshold,macro_f1,micro_f1,prediction
10pct,superdiagnostic,55,hilar,0.5,0.6185974873091243,0.7007438489414457,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\superdiagnostic-seed55\formal-test\paired\test_predictions.npz
10pct,subdiagnostic,42,clear_hug,0.5,0.2164308166323251,0.513672270609682,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\subdiagnostic-seed42\formal-test\hug\test_predictions.npz
10pct,subdiagnostic,42,heartlang,0.5,0.18736802298284957,0.5126903553299492,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\subdiagnostic-seed42\heartlang\formal-test\test_predictions.npz
10pct,subdiagnostic,42,hilar,0.5,0.28421767098504674,0.5959017906590364,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\subdiagnostic-seed42\formal-test\paired\test_predictions.npz
10pct,subdiagnostic,46,clear_hug,0.5,0.22431799875768849,0.5282185177746536,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\subdiagnostic-seed46\formal-test\hug\test_predictions.npz
10pct,subdiagnostic,46,heartlang,0.5,0.18447405929859736,0.5154464663563267,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\subdiagnostic-seed46\heartlang\formal-test\test_predictions.npz
10pct,subdiagnostic,46,hilar,0.5,0.2898501055349083,0.6023251522421111,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\subdiagnostic-seed46\formal-test\paired\test_predictions.npz
10pct,subdiagnostic,55,clear_hug,0.5,0.20859561332708695,0.5442708333333334,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\subdiagnostic-seed55\formal-test\hug\test_predictions.npz
10pct,subdiagnostic,55,heartlang,0.5,0.183985517034318,0.5083881928222552,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\subdiagnostic-seed55\heartlang\formal-test\test_predictions.npz
10pct,subdiagnostic,55,hilar,0.5,0.2786207327997703,0.5893358278765201,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\subdiagnostic-seed55\formal-test\paired\test_predictions.npz
