fraction,task,seed,model,macro_auroc,macro_auprc
10pct,superdiagnostic,46,heartlang,0.8552458605508118,0.6802901373068434
10pct,superdiagnostic,46,stmem,0.8747175831304042,0.7099962118187453
10pct,superdiagnostic,55,heartlang,0.8586589609056487,0.6901732246610905
10pct,superdiagnostic,55,stmem,0.8756586094515683,0.7161050638009113
10pct,subdiagnostic,42,heartlang,0.8067040775376052,0.28443918601674584
10pct,subdiagnostic,42,stmem,0.8518098815167577,0.34221364084566824
10pct,subdiagnostic,46,heartlang,0.8223270251994876,0.2920240526311116
10pct,subdiagnostic,46,stmem,0.8612519321255018,0.32824176714088116
10pct,subdiagnostic,55,heartlang,0.8213581031149266,0.29741880365321494
10pct,subdiagnostic,55,stmem,0.8574935639484866,0.3345022644068312
10pct,form,42,heartlang,0.6714295644401832,0.18152645108068838
10pct,form,42,stmem,0.7843889993416576,0.2515256375083238
10pct,form,46,heartlang,0.6597347245404819,0.18344155196606132
10pct,form,46,stmem,0.751513622912395,0.24535064791786
10pct,form,55,heartlang,0.6670168940532739,0.19095434147544357
10pct,form,55,stmem,0.7569274403248998,0.23716726473955732
10pct,rhythm,42,heartlang,0.8429170611722857,0.3381432350363052
10pct,rhythm,42,stmem,0.9407908327601429,0.48672159066929616
10pct,rhythm,46,heartlang,0.7691498413145856,0.29092681224010314
10pct,rhythm,46,stmem,0.9298860884571737,0.4687582393563781
10pct,rhythm,55,heartlang,0.8176619096794137,0.2710940360437843
10pct,rhythm,55,stmem,0.9468949653863126,0.45605390793709555
10pct,cpsc2018,42,heartlang,0.6723955122944019,0.250313705306722
10pct,cpsc2018,42,stmem,0.886114223330424,0.6140935910104579
10pct,cpsc2018,46,heartlang,0.6753145923046414,0.24889169664282937
10pct,cpsc2018,46,stmem,0.8982137234014781,0.6198837504486048
10pct,cpsc2018,55,heartlang,0.6716648521052978,0.25406835066032485
10pct,cpsc2018,55,stmem,0.8859962139423923,0.6106677106547069
10pct,csn,42,heartlang,0.8057848404245354,0.22569844176819687
10pct,csn,42,stmem,0.8718955490391714,0.34066051535187863
10pct,csn,46,heartlang,0.7828809275506347,0.22426461337688602
10pct,csn,46,stmem,0.8838243842729135,0.35231017258015285
10pct,csn,55,heartlang,0.7941140494178495,0.24041376187917662
10pct,csn,55,stmem,0.8715121994850158,0.3467718563459961
1pct,superdiagnostic,42,heartlang,0.8006335803711074,0.5906651149020669
1pct,superdiagnostic,42,stmem,0.8207606319430342,0.6055932192403124
1pct,superdiagnostic,46,heartlang,0.8058753859226016,0.5982673410384237
1pct,superdiagnostic,46,stmem,0.8171087259026079,0.5856111190855897
1pct,superdiagnostic,55,heartlang,0.7950562093297059,0.573007902205485
1pct,superdiagnostic,55,stmem,0.8017247561550903,0.5434691838504674
1pct,subdiagnostic,42,heartlang,0.664433260067507,0.16754817255825347
1pct,subdiagnostic,42,stmem,0.7696447060378565,0.2158456174304147
1pct,subdiagnostic,46,heartlang,0.6887692283081792,0.19122646231047238
1pct,subdiagnostic,46,stmem,0.7664758268220158,0.19456842048024842
1pct,subdiagnostic,55,heartlang,0.6768017303719718,0.1565203047461086
1pct,subdiagnostic,55,stmem,0.7793935950149288,0.17309998973090532
1pct,form,42,heartlang,0.5668147584820012,0.13003674260620485
1pct,form,42,stmem,0.6398870147409744,0.18393996840524907
1pct,form,46,heartlang,0.5618458323319447,0.12979706076875538
1pct,form,46,stmem,0.6518947280946289,0.16778226100531202
1pct,form,55,heartlang,0.570572483686001,0.141142585336802
1pct,form,55,stmem,0.6691835331725299,0.18355136224768295
1pct,rhythm,42,heartlang,0.6198091111892207,0.10600627459325379
1pct,rhythm,42,stmem,0.8798642364791701,0.33375561768229584
1pct,rhythm,46,heartlang,0.5528819499910713,0.16116265346788541
